model,ram_gb,storage_gb,color,battery_health_pct,price_egp,warranty
iPhone 14,6,128,Blue,100,22600,Unknown
iPhone 11,4,128,Black,71,67500,Yes
iPhone 16,8,128,Blue,95,81000,No
iPhone 13,4,256,Midnight,90,63900,No
iPhone 12 Pro Max,6,256,Pacific Blue,75,27250,Unknown
iPhone 14 Pro Max,6,256,Black (Shade B),87,15400,Unknown
iPhone 16 Pro,8,512,Natural Titanium,89,48400,No
iPhone 14 Pro Max,6,128,Deep Purple,79,25450,Unknown
iPhone 12 Pro Max,6,256,Pacific Blue,,31750,No
iPhone 14 Pro Max,6,256,Black (Shade B),,33000,No
iPhone 16 Pro,8,512,Natural Titanium,,49450,No
iPhone 14 Pro Max,6,128,Deep Purple,,31350,No
iPhone 16 Pro Max,8,256,Natural Titanium,90,69950,No
iPhone 15 Pro Max,8,256,Natural Titanium,81,52000,Yes
iPhone 14,6,128,Purple,78,30900,Unknown
iPhone 13,4,128,Rose Gold,80,25760,No
iPhone 15 Pro Max,8,256,Natural Titanium,87,61890,No
iPhone 15 Pro Max,8,512,Black Titanium,100,71000,No
iPhone 14,6,128,Starlight,77,31355,No
iPhone 15 Pro Max,8,512,Blue Titanium,86,63500,No
iPhone 13,4,256,Midnight,86,26250,Yes
iPhone 16 Pro Max,8,512,Natural Titanium,89,57550,Unknown
iPhone 15 Pro,8,512,Blue Titanium,91,60850,No
iPhone 15,6,256,Black,87,52955,No
iPhone 13,4,256,Midnight,94,27250,No
iPhone 13,4,256,Midnight,96,27450,No
iPhone 13,4,256,Midnight,93,27250,No
iPhone 13,4,256,Midnight,97,27950,Yes
iPhone 13,4,256,Midnight,95,27750,Unknown
iPhone 13,4,256,Midnight,91,27000,No
iPhone 13,4,256,Midnight,96,27350,No
iPhone 13,4,256,Midnight,97,27750,No
iPhone 17 Pro Max,12,256,Cosmic Orange,100,81800,No
iPhone 14 Pro Max,6,256,Gold,77,43750,No
iPhone 17,8,256,White,100,65800,Yes
iPhone 16,8,128,Teal,100,45420,Unknown
iPhone 13,4,256,Midnight,95,26950,No
iPhone 13,4,256,Midnight,90,27000,No
iPhone 14 Pro Max,6,256,Space Black,78,47570,No
iPhone 17 Pro Max,12,512,Cosmic Orange,92,97300,No
iPhone 15 Plus,6,128,Black,87,43750,No
iPhone 17 Pro Max,12,512,Cosmic Orange,91,108500,Yes
iPhone 15 Plus,6,128,Black,89,44805,Unknown
iPhone 16 Air,12,512,Silver,100,48400,No
iPhone 14 Pro Max,6,128,Deep Purple,80,45300,No
iPhone 16 Pro Max,12,512,Titanium (color text truncated),91,72160,No
iPhone 16 Pro,8,256,Black Titanium,91,61000,No
iPhone 16 Pro,8,128,Black Titanium,91,56990,No
iPhone 11,4,256,Purple,74,16445,Yes
iPhone 17 Pro,12,256,Silver,96,78750,Unknown
iPhone 13,4,128,Starlight,90,31900,No
iPhone 16 Pro,8,256,Black Titanium,93,59650,No
iPhone 15,6,128,Blue,94,43250,No
iPhone 13,4,128,Starlight,99,34000,No
iPhone 17 Pro,12,256,Cosmic Orange,97,84310,No
iPhone 16 Plus,8,128,Black,93,53995,Yes
iPhone 13,4,128,Midnight,86,29900,Unknown
iPhone 16 Pro,8,256,Natural Titanium,89,61000,No
iPhone 17 Pro Max,12,256,Blue,100,88450,No
iPhone 16 Pro Max,8,256,Natural Titanium,95,76600,No
iPhone 17 Pro,12,512,Cosmic Orange,100,97750,No
iPhone 17 Pro Max,12,256,Blue,97,84950,No
iPhone 13,4,128,Starlight,95,37000,Yes
iPhone 12 Pro,6,256,Pacific Blue,88,28800,Unknown
iPhone 17 Pro Max,12,256,Silver,,72000,No
iPhone 17 Pro,12,256,Deep Blue,100,60000,No
iPhone 17 Pro Max,12,256,Cosmic Orange,100,90950,No
iPhone 15 Pro Max,8,512,Blue Titanium,86,62900,No
iPhone 17 Pro Max,12,256,Cosmic Orange,100,90900,No
iPhone 17 Pro,12,1024,Cosmic Orange,100,103500,Yes
iPhone 17 Pro Max,12,256,Blue Titanium,100,88450,Unknown
iPhone 17 Pro Max,12,256,Blue Titanium,97,84950,No
iPhone 17 Pro Max,12,256,Silver,,72000,No
iPhone 17 Pro Max,12,256,Blue Titanium,100,90950,No
iPhone 15 Pro Max,8,512,Natural Titanium,86,62900,No
iPhone 17 Pro Max,12,256,Blue Titanium,100,90900,No
iPhone 17 Pro,12,512,Cosmic Orange,100,103500,Yes
iPhone 14 Pro Max,6,128,Deep Purple,83,46800,Unknown
iPhone 17 Pro Max,12,256,Blue Titanium,97,87700,No
iPhone 14 Pro,6,256,Space Black,77,39600,No
iPhone 16,8,128,Ultramarine,91,51000,No
iPhone 15 Plus,6,256,Black,86,46950,No
iPhone 13,4,256,Midnight,85,25900,No
iPhone 11,4,64,Purple Fair,75,16500,Yes
iPhone 16 Pro Max,8,512,Gold,90,74800,Unknown
iPhone 13,4,128,Light Blue,91,30800,No
iPhone XR,3,128,Red,77,6600,No
iPhone 15,6,128,Black,84,40850,No
iPhone 15 Pro Max,8,256,Natural Titanium,87,60900,No
iPhone 15 Pro Max,8,256,Natural Titanium,84,56750,No
iPhone XS Max,4,512,White,82,17050,Yes
iPhone 11,4,128,Purple,74,12650,Unknown
iPhone 15,6,128,Black,89,42300,No
iPhone 17 Pro Max,12,256,Blue Titanium,100,89100,No
iPhone 16 Plus,8,128,Black,92,53500,No
iPhone 17 Pro Max,12,256,Blue Titanium,100,88750,No
iPhone 13 Pro,6,256,Alpine Green,76,34100,No
iPhone 17 Pro Max,12,256,Blue Titanium,99,93750,Yes
iPhone 17 Pro Max,12,256,Blue Titanium,100,99330,Unknown
iPhone 16,8,128,Black,,61740,No
iPhone 15 Pro Max,8,256,Natural Titanium,84,59650,No
iPhone 13,4,256,Midnight,89,31000,No
iPhone 17 Pro Max,12,256,Blue Titanium,99,96100,No
iPhone 17 Pro Max,12,256,Blue Titanium,99,97200,No
iPhone 17 Pro Max,12,256,Blue Titanium,99,95050,Yes
iPhone 14 Pro,6,128,Space Black,83,33700,No
iPhone 14 Pro,6,1024,Deep Purple,78,46300,Yes
iPhone 12,4,128,White,90,14000,No
iPhone 14 Plus,6,512,Blue,81,37200,No
iPhone 14 Pro Max,6,1024,Deep Purple,81,53800,No
iPhone 14 Pro Max,6,256,Silver,87,41700,Unknown
iPhone 15 Plus,6,256,Blue,82,42200,Unknown
iPhone XS,4,256,Silver,79,11700,No
iPhone 13 mini,4,512,Red,85,26000,Unknown
iPhone 15 Pro Max,8,1024,Black Titanium,94,67400,Yes
iPhone XR,3,64,Red,89,5700,No
iPhone XR,3,64,White,90,8200,No
iPhone X,3,256,Black,84,7000,Unknown
iPhone 12 Pro Max,6,256,Graphite,86,29200,Unknown
iPhone 13 Pro Max,6,512,Alpine Green,87,43200,No
iPhone X,3,256,Space Gray,86,7000,Unknown
iPhone 11 Pro Max,4,256,Gold,90,19400,No
iPhone 15 Plus,6,256,Black,93,43600,No
iPhone 12 mini,4,128,Purple,80,10900,No
iPhone 12,4,128,Blue,91,14700,No
iPhone 14,6,128,Midnight,89,25000,No
iPhone 15,6,128,Black,95,39000,Yes
iPhone 11 Pro,4,64,Midnight Green,86,13100,Unknown
iPhone 13 Pro Max,6,128,Graphite,96,34900,No
iPhone 11 Pro,4,256,Silver,93,21200,Unknown
iPhone 13 mini,4,128,Red,81,17300,Unknown
iPhone 11,4,64,Purple,79,7500,No
iPhone XR,3,128,Black,82,8600,No
iPhone 15 Pro,8,256,White Titanium,84,48400,Yes
iPhone 11,4,128,Green,89,13300,No
iPhone XS Max,4,256,Silver,87,14300,No
iPhone 11 Pro Max,4,256,Midnight Green,84,22200,No
iPhone 14 Pro Max,6,128,Gold,90,40500,No
iPhone 12 mini,4,256,White,95,15600,Unknown
iPhone 13 Pro Max,6,128,Gold,84,34400,No
iPhone 14 Plus,6,128,Midnight,95,29700,No
iPhone 11,4,128,White,90,13500,No
iPhone 12 Pro Max,6,512,Pacific Blue,86,30000,Unknown
iPhone 12 Pro Max,6,256,Graphite,82,26000,No
iPhone 13 Pro Max,6,256,Gold,95,38800,No
iPhone 15 Pro Max,8,1024,White Titanium,87,63800,Unknown
iPhone 13 Pro,6,512,Sierra Blue,96,35600,No
iPhone 12,4,128,Blue,84,11500,No
iPhone 13,4,128,Starlight,81,18000,No
iPhone 15 Pro Max,8,1024,Blue Titanium,89,64200,Yes
iPhone 14 Pro,6,128,Gold,87,31900,No
iPhone XS,4,256,Gold,83,12600,Unknown
iPhone 11,4,128,Black,88,13000,No
iPhone 15 Plus,6,128,Green,84,35700,Unknown
iPhone 12 mini,4,128,Blue,91,13000,Yes
iPhone 12,4,64,Black,82,11000,No
iPhone X,3,64,Silver,81,6500,No
iPhone 14 Pro Max,6,128,Space Black,83,39400,Unknown
iPhone XS,4,256,Space Gray,95,10300,No
iPhone 15 Pro,8,128,Blue Titanium,95,44900,Unknown
iPhone 13,4,128,Pink,84,16000,No
iPhone XS,4,256,Silver,83,10400,No
iPhone 13,4,128,Midnight,91,24000,Unknown
iPhone XS Max,4,64,Space Gray,86,11600,Unknown
iPhone 11 Pro,4,256,Midnight Green,78,20000,No
iPhone 12 Pro Max,6,512,Gold,88,31200,No
iPhone 12 Pro,6,128,Graphite,78,18500,Unknown
iPhone XR,3,64,Coral,93,5600,No
iPhone 14,6,128,Midnight,85,18900,No
iPhone 11 Pro Max,4,256,Midnight Green,88,22600,Unknown
iPhone 15,6,128,Black,91,38000,No
iPhone XS Max,4,256,Silver,80,12700,No
iPhone XS Max,4,64,Silver,78,7300,Unknown
iPhone 11,4,128,Black,86,13500,Unknown
iPhone XS,4,64,Space Gray,78,5400,Unknown
iPhone 13 mini,4,512,Green,84,24800,Unknown
iPhone 14,6,128,Blue,86,22000,No
iPhone 13,4,128,Midnight,90,22000,No
iPhone 13 Pro,6,128,Gold,89,26900,No
iPhone X,3,64,Silver,83,6500,No
iPhone 12,4,128,Black,87,13500,No
iPhone 14,6,128,Purple,93,35000,Yes
iPhone 11 Pro Max,4,256,Space Gray,96,21800,Unknown
iPhone 11 Pro,4,64,Space Gray,93,11500,No
iPhone 12 Pro Max,6,512,Pacific Blue,92,31400,No
iPhone XR,3,64,Coral,87,7900,Unknown
iPhone 12 Pro,6,128,Pacific Blue,92,20800,Unknown
iPhone 13,4,128,Blue,88,17000,No
iPhone 15 Pro Max,8,512,White Titanium,82,57500,No
iPhone 14 Pro,6,128,Gold,81,31100,No
iPhone 15 Pro Max,8,256,Black Titanium,89,53300,No
iPhone 12 mini,4,256,Blue,92,14700,No
iPhone 14 Plus,6,512,Midnight,86,39200,Unknown
iPhone X,3,64,Space Gray,79,5800,No
iPhone 13 Pro,6,128,Sierra Blue,94,27500,No
iPhone 13 mini,4,256,Red,92,19800,No
iPhone 12 Pro,6,512,Graphite,80,29500,No
iPhone 13 Pro,6,256,Sierra Blue,92,29100,No
iPhone 14 Plus,6,512,Midnight,96,39900,No
iPhone 12 mini,4,64,Blue,87,11300,No
iPhone 14,6,128,Starlight,91,35000,Yes
iPhone 15 Pro,8,512,Natural Titanium,85,55600,Yes
iPhone 11 Pro,4,512,Midnight Green,87,24900,Unknown
iPhone 15 Plus,6,256,Pink,85,44300,Unknown
iPhone 12 Pro,6,128,Silver,95,20100,No
iPhone 11 Pro Max,4,512,Space Gray,92,25100,No
iPhone 13 Pro Max,6,256,Graphite,78,36400,Unknown
iPhone 12 Pro,6,256,Pacific Blue,80,18600,No
iPhone 15,6,128,Blue,87,30000,No
iPhone 15,6,128,Green,89,33000,No
iPhone 14 Pro,6,256,Space Black,88,38200,Unknown
iPhone 13 mini,4,128,Blue,86,18700,No
iPhone 15 Pro,8,256,Blue Titanium,85,50900,Yes
iPhone 14 Plus,6,256,Midnight,86,30800,Unknown
iPhone XS Max,4,64,Gold,87,10500,No
iPhone 15 Plus,6,128,Green,86,39000,No
iPhone 15,6,128,Black,92,32000,No
iPhone 14 Pro Max,6,512,Space Black,89,49500,Yes
iPhone 13 Pro,6,128,Alpine Green,95,25700,No
iPhone 15 Pro,8,1024,Blue Titanium,88,62300,Unknown
iPhone 13 Pro Max,6,256,Alpine Green,86,37500,No
iPhone 14 Pro Max,6,128,Space Black,83,39400,Unknown
iPhone 15,6,512,Black,94,43600,No
iPhone 12 Pro,6,256,Graphite,81,23000,No
iPhone 13 mini,4,512,Starlight,77,26200,Yes
iPhone 13,4,512,Midnight,80,30900,No
iPhone 14 Pro Max,6,256,Silver,87,41700,Unknown
iPhone 15 Plus,6,256,Blue,82,42200,Unknown
iPhone 14 Plus,6,128,Starlight,79,27800,No
iPhone 15 Pro,8,128,Black Titanium,77,44100,Unknown
iPhone 14 Plus,6,512,Purple,93,40700,No
iPhone XS,4,256,Gold,83,12600,Unknown
iPhone 13 Pro Max,6,128,Gold,84,34400,No
iPhone 13,4,128,Red,82,22800,No
iPhone 15 Pro,8,256,White Titanium,80,45400,No
iPhone 15 Plus,6,128,Green,87,38700,Unknown
iPhone XS,4,256,Gold,80,13800,Yes
iPhone 13 Pro Max,6,128,Alpine Green,90,32600,Unknown
iPhone 15 Pro Max,8,1024,Blue Titanium,89,64200,Yes
iPhone 12,4,128,Blue,84,11500,No
iPhone X,3,256,Black,84,7000,Unknown
iPhone 15,6,128,Black,91,38000,No
iPhone 11 Pro Max,4,64,Space Gray,89,17400,Unknown
iPhone 11 Pro Max,4,512,Space Gray,92,25100,No
iPhone 15 Pro,8,1024,Blue Titanium,88,62300,Unknown
iPhone 13 Pro Max,6,256,Alpine Green,78,34900,No
iPhone XR,3,64,White,80,5800,No
iPhone 13 Pro,6,512,Sierra Blue,88,34600,No
iPhone 14 Pro,6,128,Gold,81,31100,No
iPhone 11 Pro,4,256,Gold,80,15000,No
iPhone 11 Pro,4,256,Silver,93,21200,Unknown
iPhone 14,6,128,Blue,86,22000,No
iPhone 15 Pro Max,8,256,Blue Titanium,88,51900,Unknown
iPhone 11 Pro Max,4,256,Space Gray,82,19700,No
iPhone 13,4,128,Blue,88,17000,No
iPhone 12 Pro Max,6,512,Pacific Blue,86,30000,Unknown
iPhone XS,4,64,Silver,84,8000,No
iPhone X,3,256,Space Gray,86,7000,Unknown
iPhone 15,6,128,Green,89,33000,No
iPhone 15 Pro,8,256,Blue Titanium,85,50900,Yes
iPhone XR,3,64,White,86,9200,Unknown
iPhone X,3,64,Silver,87,7700,Yes
iPhone 14 Pro,6,512,Gold,96,43200,No
iPhone XS,4,256,Silver,83,10400,No
iPhone 15,6,512,Pink,97,44200,Yes
iPhone 15,6,512,Yellow,88,42200,Unknown
iPhone 12 mini,4,64,Blue,87,11300,No
iPhone 14,6,128,Purple,93,35000,Yes
iPhone 12 mini,4,64,Blue,86,8700,Unknown
iPhone 11 Pro Max,4,256,Midnight Green,84,22200,No
iPhone 13 mini,4,128,Blue,86,18700,No
iPhone 13 mini,4,512,Green,83,26400,No
iPhone 12 mini,4,128,Purple,80,10900,No
iPhone XS,4,256,Silver,86,11000,Yes
iPhone 12 Pro,6,128,Gold,95,19200,No
iPhone XR,3,64,Blue,97,7500,No
iPhone 13 Pro,6,512,Graphite,90,34800,No
iPhone 11 Pro,4,64,Silver,93,13000,Unknown
iPhone 14 Pro Max,6,1024,Deep Purple,81,53800,No
iPhone XS Max,4,256,Space Gray,77,16700,Yes
iPhone XR,3,64,Coral,87,7900,Unknown
iPhone 14,6,512,Midnight,95,34400,Unknown
iPhone 15 Pro Max,8,256,White Titanium,90,51800,Unknown
iPhone 14 Plus,6,256,Purple,79,30800,Unknown
iPhone 15 Pro,8,128,Blue Titanium,95,44900,Unknown
iPhone X,3,64,Space Gray,79,5800,No
iPhone 13 Pro Max,6,128,Graphite,77,30900,No
iPhone 13 mini,4,256,Pink,93,21000,No
iPhone 11 Pro,4,512,Space Gray,94,25200,No
iPhone XS Max,4,256,Silver,87,14300,No
iPhone 13 Pro Max,6,1024,Gold,87,48800,No
iPhone X,3,64,Silver,92,6700,No
iPhone XR,3,64,White,90,8200,No
iPhone 15 Plus,6,128,Green,86,39000,No
iPhone 12 Pro,6,128,Silver,95,20100,No
iPhone 15 Pro Max,8,512,Blue Titanium,82,58200,No
iPhone 13,4,128,Midnight,91,24000,Unknown
iPhone XS,4,64,Space Gray,85,5700,No
iPhone XS,4,256,Space Gray,95,10300,No
iPhone 12,4,64,White,82,12600,Unknown
iPhone 12 mini,4,128,Red,90,12700,Unknown
iPhone 12 mini,4,256,Red,91,16300,Unknown
iPhone 15 Pro,8,256,White Titanium,87,50500,Yes
iPhone 14 Pro,6,128,Gold,87,31900,No
iPhone X,3,256,Space Gray,80,10300,Unknown
iPhone 13 Pro,6,512,Sierra Blue,96,35600,No
iPhone 13 Pro Max,6,128,Graphite,96,34900,No
iPhone 14 Plus,6,256,Blue,82,35100,No
iPhone XS Max,4,64,Silver,97,9000,No
iPhone 12 Pro,6,256,Pacific Blue,80,18600,No
iPhone 15 Plus,6,128,Yellow,94,41500,No
iPhone 13,4,128,Starlight,84,24200,No
iPhone 15 Plus,6,128,Blue,90,39000,No
iPhone 14 Pro Max,6,1024,Silver,95,55200,No
iPhone 12,4,64,Black,82,11000,No
iPhone 14 Plus,6,512,Midnight,96,39900,No
iPhone 11 Pro Max,4,512,Silver,95,28800,No
iPhone 13 Pro Max,6,256,Gold,95,38800,No
iPhone 11 Pro,4,256,Midnight Green,78,20000,No
iPhone 13 mini,4,256,Red,92,19800,No
iPhone 14 Pro Max,6,128,Deep Purple,92,42000,No
iPhone 11,4,256,Black,78,14900,No
iPhone 13 Pro,6,512,Graphite,93,37600,Yes
iPhone XS,4,64,Silver,81,6400,No
iPhone 14 Plus,6,512,Midnight,86,39200,Unknown
